MatchHistory,TeamColor,ban_1,ban_2,ban_3,ban_4,ban_5
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200073?gameHash=b06276841c624ef9,Blue,Fizz,Thresh,Hecarim,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200078?gameHash=f29e4aebf583c0ae,Blue,Rumble,Gragas,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200083?gameHash=095f04e06c7fe592,Blue,Hecarim,KogMaw,Varus,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200090?gameHash=df0fb2ba5ee9d4c6,Blue,Alistar,Kalista,JarvanIV,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210086?gameHash=80e7bfda914fd0c9,Blue,Leblanc,Kalista,Kassadin,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210093?gameHash=3420cf4d13a780eb,Blue,Azir,Rumble,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210098?gameHash=06368b209802df9f,Blue,Rumble,Sivir,Gragas,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210107?gameHash=0a832eea1bca60d1,Blue,Kalista,Gragas,Ryze,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210113?gameHash=7a5200c24e86c2f0,Blue,Leblanc,Azir,RekSai,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210125?gameHash=abdb717d8fc0a2fa,Blue,Leblanc,Hecarim,Sivir,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210129?gameHash=58b826f6b546ad66,Blue,Nidalee,Thresh,Evelynn,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210134?gameHash=6a76db40b8416e0b,Blue,Ekko,RekSai,Gragas,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210139?gameHash=778895bd05d45d7b,Blue,Urgot,TwistedFate,Sivir,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210144?gameHash=00bad4da4d94bdbf,Blue,Irelia,Gragas,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220085?gameHash=5d1162b65434147d,Blue,Rumble,Nidalee,Sivir,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220097?gameHash=c970fe797f7c7fbc,Blue,,,,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220119?gameHash=f64575c2b892654a,Blue,Nidalee,Sivir,Gragas,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220147?gameHash=970d17934a27fde4,Blue,Irelia,Kalista,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220154?gameHash=ce71491688291223,Blue,Gragas,Kalista,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001230142?gameHash=3cbf3856b7ccd72e,Blue,Nidalee,Vladimir,Ryze,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001230143?gameHash=4ff786778f478000,Blue,Irelia,Alistar,Gragas,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001230150?gameHash=73672037cba176d3,Blue,Rumble,Gragas,Nidalee,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001230162?gameHash=d68901bc63a8ff8d,Blue,Ekko,Sivir,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001230170?gameHash=97582812c668144d,Blue,KogMaw,Sivir,Gragas,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220243?gameHash=c778eada78a5eaf1,Blue,RekSai,Alistar,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220254?gameHash=33635d04462c738e,Blue,Alistar,KogMaw,RekSai,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220266?gameHash=8749306da4ce243b,Blue,Irelia,RekSai,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220272?gameHash=ef1053869a9b125d,Blue,Alistar,Vladimir,Gragas,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001220279?gameHash=0364e2e542b777a4,Blue,Gragas,Shen,Kassadin,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001230233?gameHash=fecc2f4104a950b3,Blue,Azir,Annie,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001230235?gameHash=82225baf029a31c7,Blue,RekSai,Azir,Ekko,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001230243?gameHash=55d98f5310ec170a,Blue,Ekko,RekSai,Bard,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001230254?gameHash=3a0687fef919f99b,Blue,Rumble,JarvanIV,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001230270?gameHash=4b281a331503e363,Blue,Kassadin,Gragas,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001250008?gameHash=f3b59b7b3345ab4c,Blue,RekSai,Rumble,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001250027?gameHash=f52cadec859b7d13,Blue,Rumble,Nidalee,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001250040?gameHash=0b2f5db5a1e87c90,Blue,Sivir,,,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001250054?gameHash=5b02452b53c7b6bc,Blue,Urgot,TwistedFate,Hecarim,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001250067?gameHash=3e243c509b701e4f,Blue,Azir,Gragas,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001250075?gameHash=fefc7dd282d9e0fa,Blue,Sivir,Vladimir,Azir,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001250085?gameHash=b02d31d8ef5d975a,Blue,Nautilus,Maokai,Shen,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001250093?gameHash=526acf576153f2fa,Blue,Urgot,Nautilus,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001250101?gameHash=83eb00ce756934c5,Blue,Gragas,Nautilus,Annie,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001250106?gameHash=672a4fa9b979d6dd,Blue,RekSai,Sivir,TwistedFate,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001240099?gameHash=577df3f03e4e8f12,Blue,Vladimir,Diana,Nautilus,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001240109?gameHash=293158505dc5e57d,Blue,Sivir,Alistar,TwistedFate,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001240111?gameHash=9332f0b03bba2f3e,Blue,Fizz,TwistedFate,Azir,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001240119?gameHash=cab05d1729348e41,Blue,Sivir,Yasuo,Gnar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001240127?gameHash=4b0c2f81e133b2c7,Blue,RekSai,Kalista,Gragas,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001240144?gameHash=a384641759a15cf6,Blue,Nidalee,Sivir,JarvanIV,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001240145?gameHash=6e0045268cfc1b5b,Blue,Annie,Alistar,RekSai,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001240153?gameHash=287e3e94aa07d68d,Blue,Olaf,Kalista,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001240165?gameHash=e2e96608cd47c7ae,Blue,Azir,Kalista,RekSai,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001240173?gameHash=1b3ea3710789e7e4,Blue,Sivir,Vladimir,Diana,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001260017?gameHash=02b9060a6ab61fc5,Blue,Nidalee,Gragas,RekSai,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001260018?gameHash=c3ec23394a795120,Blue,Azir,RekSai,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001260029?gameHash=275ed6142ee32d7c,Blue,Azir,Annie,Nidalee,,
